Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,DigiKey_Part_Number,SnapEDA_Link,Check_prices,MF,MP,MANUFACTURER,PARTREV,STANDARD,MAXIMUM_PACKAGE_HEIGHT,Field4,Field5,Description_1,Price,MAXIMUM_PACKAGE_HIEGHT,Availability
,1,,,,,,tht,,,,,,,,,,,,,,,,
C5,1,0.1uF,0603-capacitor,,CC0603KRX7R7BB104,,smt,Unpolarized capacitor,,,,,,,,,,,,,,,
C6,1,100nF,0603-capacitor,,CC0603ZRY5V9BB104,,smt,,,,,,,,,,,,,,,,
C7,1,22uF,0603-capacitor,,CC0603MRX6S5BB226,,smt,Unpolarized capacitor,,,,,,,,,,,,,,,
"D1, D2",2,TPD1E05U06DPYR,TPD1E05U-SON65P60X100X45-2N,None,TPD1E05U06DPYR,,smt,15V Clamp 3.5A (8/20µs) Ipp Tvs Diode Surface Mount 2-X1SON (1x0.6),4518-TPD1E05U06DPYRCT-ND,https://www.snapeda.com/parts/TPD1E05U06DPYR/UMW/view-part/?ref=snap,https://www.snapeda.com/parts/TPD1E05U06DPYR/UMW/view-part/?ref=eda,UMW,TPD1E05U06DPYR,TI,,,,,,,,,
J1,1,USBC-4-0-CX90MW9-24P1,USB-4-0-HIROSE_CX90MW9-24P1,,CX90MW9-24P1,,smt,,,,,,,Hirose Electric Co Ltd,24.05.01,Manufacturer Recommendations,2.525mm,,,,,,
J2,1,~,COMATEL_385.0358.1.02.400,,,Yes,tht,,,,,,,,,,,,,,,,
J3,1,~,COMATEL_385.0358.1.02.400,,,Yes,tht,,,,,,,,,,,,,,,,
J4,1,~,COMATEL_385.0358.1.02.400,,,Yes,tht,,,,,,,,,,,,,,,,
J5,1,~,COMATEL_385.0358.1.02.400,,,Yes,tht,,,,,,,,,,,,,,,,
J6,1,~,COMATEL_385.0358.1.02.400,,,Yes,tht,,,,,,,,,,,,,,,,
MUX1,1,MUX HD3SS460RHRR,USB-MUX-RHR0028A,,HD3SS460RHRR,,smt,,,,,,,,,,,,,,,,
Module1,1,ComputeModule5-CM5,Raspberry-Pi-5-Compute-Module,,10164227-1001A1RLF,,smt,RaspberryPi Compute module 5,,,,,,,,,,Amphenol,2x 10164227-1001A1RLF,,,,
R1,1,1K-05W-0805,0805-resistor,,RC0805JR-071KL,,smt,,,,,,,Panasonic,3/1/2020,Manufacturer Recommendations,0.6 mm,,,,,,
"R2, R3, R4",3,10kΩ,0603-resistor,,ERA-3AEB103V,,smt,Resistor,,,,,,,,,,,,,,,
"TVS1, TVS2",2,TVS-choke-2-pair-EMI8142MUTAG,2-channel-TVS-chokeXDFN10_2P2X1P3_ONS,XDFN-10 ON Semiconductor,EMI8142MUTAG,,smt,,,https://www.snapeda.com/parts/EMI8142MUTAG/Onsemi/view-part/?ref=snap,https://www.snapeda.com/parts/EMI8142MUTAG/Onsemi/view-part/?ref=eda,ON Semiconductor,,On Semiconductor,0,IPC-7351B,,,,4 Line Common Mode Choke Surface Mount  100mA DCR 6Ohm (Typ),None,0.5mm,In Stock
TVS3,1,2 Line Common Mode Choke with ESD 100mA DCR 6Ohm,1-channel-TVS-choke-XDFN6_1P2X1P2_ONS,,EMI8141,,smt,,,,,,,,,,,,,,,,
U2,1,ESDA25L,SOT-23-3,,ESDA25L,,smt,,,,,,,,,,,,,,,,
U3,1,USB SWITCH 2CHANNEL TS3USB221AQRSERQ1,USB-SWITCH-2CHANNEL-TS3USB221AQRSERQ1,,TS3USB221A,,smt,,,,,,,,,,,,,,,,
U6,1,usb-polarity-TUSB321RWBR,polarity-usb-TUSB321RWBR,,TUSB321RWBR,,smt,,,,,,,,,,,,,,,,
