pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
128.0,-98.2,0.0,top,,,,,,tht
112.14,-93.615,-90.0,top,C5,CC0603KRX7R7BB104,,0603-capacitor,0.1uF,smt
108.88,-94.41,-90.0,top,C6,CC0603ZRY5V9BB104,,0603-capacitor,100nF,smt
110.34,-94.41,-90.0,top,C7,CC0603MRX6S5BB226,,0603-capacitor,22uF,smt
120.825,-87.05,0.0,top,D1,TPD1E05U06DPYR,None,TPD1E05U-SON65P60X100X45-2N,TPD1E05U06DPYR,smt
122.85,-85.6,-90.0,top,D2,TPD1E05U06DPYR,None,TPD1E05U-SON65P60X100X45-2N,TPD1E05U06DPYR,smt
128.0,-91.0,90.0,top,J1,CX90MW9-24P1,,USB-4-0-HIROSE_CX90MW9-24P1,USBC-4-0-CX90MW9-24P1,smt
116.025,-82.25,180.0,top,J2,,,COMATEL_385.0358.1.02.400,~,tht
116.0,-77.8,180.0,top,J3,,,COMATEL_385.0358.1.02.400,~,tht
123.17,-115.0985,180.0,top,J4,,,COMATEL_385.0358.1.02.400,~,tht
123.17,-109.5735,180.0,top,J5,,,COMATEL_385.0358.1.02.400,~,tht
108.03,-115.2765,0.0,top,J6,,,COMATEL_385.0358.1.02.400,~,tht
115.079999,-91.63,180.0,top,MUX1,HD3SS460RHRR,,USB-MUX-RHR0028A,MUX HD3SS460RHRR,smt
66.0,-113.8,0.0,top,Module1,10164227-1001A1RLF,,Raspberry-Pi-5-Compute-Module,ComputeModule5-CM5,smt
106.89,-92.15,180.0,top,R1,RC0805JR-071KL,,0805-resistor,1K-05W-0805,smt
115.64,-87.175,90.0,top,R2,ERA-3AEB103V,,0603-resistor,10kΩ,smt
117.09,-87.175,90.0,top,R3,ERA-3AEB103V,,0603-resistor,10kΩ,smt
113.42,-87.15,90.0,top,R4,ERA-3AEB103V,,0603-resistor,10kΩ,smt
119.03,-93.09,180.0,top,TVS1,EMI8142MUTAG,XDFN-10 ON Semiconductor,2-channel-TVS-chokeXDFN10_2P2X1P3_ONS,TVS-choke-2-pair-EMI8142MUTAG,smt
119.03,-90.15,180.0,top,TVS2,EMI8142MUTAG,XDFN-10 ON Semiconductor,2-channel-TVS-chokeXDFN10_2P2X1P3_ONS,TVS-choke-2-pair-EMI8142MUTAG,smt
121.51,-97.02,180.0,top,TVS3,EMI8141,,1-channel-TVS-choke-XDFN6_1P2X1P2_ONS,2 Line Common Mode Choke with ESD 100mA DCR 6Ohm,smt
124.95,-81.775,0.0,top,U2,ESDA25L,,SOT-23-3,ESDA25L,smt
117.56,-98.25,180.0,top,U3,TS3USB221A,,USB-SWITCH-2CHANNEL-TS3USB221AQRSERQ1,USB SWITCH 2CHANNEL TS3USB221AQRSERQ1,smt
109.84,-91.16,180.0,top,U6,TUSB321RWBR,,polarity-usb-TUSB321RWBR,usb-polarity-TUSB321RWBR,smt
