"#","Reference","Qty","MPN","Footprint","Value","DNP","Exclude from BOM","Exclude from Board","Datasheet","Description","Type","Notes"
"1","C5","1","CC0603KRX7R7BB104","SPIRIT-footprints:0603-capacitor","0.1uF","","","","","Unpolarized capacitor","",""
"2","C6","1","CC0603ZRY5V9BB104","SPIRIT-footprints:0603-capacitor","100nF","","","","","","",""
"3","C7","1","CC0603MRX6S5BB226","SPIRIT-footprints:0603-capacitor","22uF","","","","","Unpolarized capacitor","",""
"4","D1,D2","2","TPD1E05U06DPYR","CM5IO:TPD1E05U-SON65P60X100X45-2N","TPD1E05U06DPYR","","","","","15V Clamp 3.5A (8/20µs) Ipp Tvs Diode Surface Mount 2-X1SON (1x0.6)","",""
"5","J1","1","CX90MW9-24P1","SPIRIT-footprints:USB-4-0-HIROSE_CX90MW9-24P1","USBC-4-0-CX90MW9-24P1","","","","https://www.hirose.com/product/document?clcode=CL0480-0522-0-00&productname=CX60-SLDA&series=CX&documenttype=Catalog&lang=en&documentid=D52488_en","","",""
"6","J2,J3,J4,J5,J6","5","","COMATEL THD:COMATEL_385.0358.1.02.400","","DNP","","","","","",""
"7","Module1","1","10164227-1001A1RLF","CM5IO:Raspberry-Pi-5-Compute-Module","ComputeModule5-CM5","","","","","RaspberryPi Compute module 5","",""
"8","MUX1","1","HD3SS460RHRR","SPIRIT-footprints:USB-MUX-RHR0028A","MUX HD3SS460RHRR","","","","https://www.ti.com/lit/gpn/hd3ss460","","",""
"9","R1","1","RC0805JR-071KL","SPIRIT-footprints:0805-resistor","1K-05W-0805","","","","","","",""
"10","R2,R3,R4","3","ERA-3AEB103V","SPIRIT-footprints:0603-resistor","10kΩ","","","","","Resistor","",""
"11","TVS1,TVS2","2","EMI8142MUTAG","SPIRIT-footprints:2-channel-TVS-chokeXDFN10_2P2X1P3_ONS","TVS-choke-2-pair-EMI8142MUTAG","","","","https://www.onsemi.com/pdf/datasheet/emi8141-d.pdf","","",""
"12","TVS3","1","EMI8141","SPIRIT-footprints:1-channel-TVS-choke-XDFN6_1P2X1P2_ONS","2 Line Common Mode Choke with ESD 100mA DCR 6Ohm","","","","https://www.onsemi.com/pdf/datasheet/emi8141-d.pdf","","",""
"13","U2","1","ESDA25L","Package_TO_SOT_SMD:SOT-23-3","ESDA25L","","","","https://www.st.com/resource/en/datasheet/esdal.pdf","","",""
"14","U3","1","TS3USB221A","SPIRIT-footprints:USB-SWITCH-2CHANNEL-TS3USB221AQRSERQ1","USB SWITCH 2CHANNEL TS3USB221AQRSERQ1","","","","https://www.ti.com/lit/gpn/ts3usb221a-q1","","",""
"15","U6","1","TUSB321RWBR","SPIRIT-footprints:polarity-usb-TUSB321RWBR","usb-polarity-TUSB321RWBR","","","","https://www.ti.com/lit/gpn/tusb321","","",""
